Title,URL,Published,Source
"Jason Arday, ex-Cambridge professor at centre of plagiarism row, found dead",https://www.bbc.co.uk/news/articles/c1j1ye6n30no?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 20:32:55 GMT",BBC
Temporary ban on sale of disposable BBQs over wildfire risk,https://www.bbc.co.uk/news/articles/c0jlyqdj6geo?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 19:17:16 GMT",BBC
Mangione admits killing healthcare CEO and pleads guilty to federal charges,https://www.bbc.co.uk/news/articles/cwy0nlq1l2wo?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 19:20:43 GMT",BBC
Derailed Essex to London train leads to travel chaos,https://www.bbc.co.uk/news/articles/cq561qvg7qgo?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 19:57:50 GMT",BBC
Chris Mason: Where does this unorthodox by-election victory leave Nigel Farage?,https://www.bbc.co.uk/news/articles/cvgvjnyz8k7o?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 14:50:02 GMT",BBC
Afghan women tell the BBC their lives are unrecognisable after five years of Taliban rule,https://www.bbc.co.uk/news/articles/clyje43dz4eo?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 18:25:38 GMT",BBC
Britain's Finlay Tarling dies in Volta a Portugal accident,https://www.bbc.co.uk/sport/cycling/articles/ceqed1g3j48o?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 19:43:03 GMT",BBC
Activists try to deliver aid to Palestinians in homes besieged by Israeli settlers,https://www.bbc.co.uk/news/articles/c1w1ylw0p3no?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 17:03:17 GMT",BBC
Bezos-backed consortium buys a third of Liverpool FC,https://www.bbc.co.uk/sport/football/articles/cx2vj4l9wxyo?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 16:00:16 GMT",BBC
Stephen Bear jailed over sex offender breaches,https://www.bbc.co.uk/news/articles/c7vgymz71l4o?at_medium=RSS&at_campaign=rss,"Fri, 14 Aug 2026 17:22:36 GMT",BBC
American missionary kidnapped in Niger freed after nine months,https://www.theguardian.com/world/2026/aug/14/american-missionary-kevin-rideout-niger-released-kidnapping,"Fri, 14 Aug 2026 14:55:17 GMT",The Guardian
DRC’s fast-growing Ebola outbreak spreads to sixth province,https://www.theguardian.com/world/2026/aug/13/ebola-drc-democratic-republic-congo-sixth-province,"Thu, 13 Aug 2026 15:17:13 GMT",The Guardian
French ambassador to CAR investigated over claims he hosted dozens of women,https://www.theguardian.com/world/2026/aug/13/france-ambassador-car-central-african-republic-investigation-bruno-foucher,"Thu, 13 Aug 2026 14:21:52 GMT",The Guardian
Zambia elections haunted by ghost of incumbent president’s arch-rival,https://www.theguardian.com/world/2026/aug/13/zambia-elections-hakainde-hichilema-haunted-ghost-incumbent-president-arch-rival-edgar-lungu,"Thu, 13 Aug 2026 04:00:49 GMT",The Guardian
At least 44 dead after overcrowded ferry capsizes on Lake Kariba in Zimbabwe,https://www.theguardian.com/world/2026/aug/12/zimbabwe-lake-kariba-ferry-capsize,"Wed, 12 Aug 2026 12:21:08 GMT",The Guardian
Canadian plasma clinics pause collections after deaths of two donors,https://www.theguardian.com/world/2026/aug/14/canadian-plasma-clinics-pause-collections-after-deaths-of-donors-grifols,"Fri, 14 Aug 2026 16:21:39 GMT",The Guardian
BP to develop offshore gasfield in Venezuela with firms linked to Trump administration,https://www.theguardian.com/business/2026/aug/14/bp-offshore-gasfield-venezuela-donald-trump,"Fri, 14 Aug 2026 14:04:49 GMT",The Guardian
Former Mexican governor charged in case of 43 students who vanished in 2014,https://www.theguardian.com/world/2026/aug/12/former-mexican-governor-charged-in-case-of-43-students-who-vanished-in-2014,"Wed, 12 Aug 2026 18:46:30 GMT",The Guardian
Canadian airline WestJet agrees to settle flight attendants’ sexual harassment class action,https://www.theguardian.com/world/2026/aug/12/canadian-airline-westjet-settle-flight-attendants-sexual-harassment-class-action,"Wed, 12 Aug 2026 14:40:36 GMT",The Guardian
Canadian airline cancels flight after child refuses to wear seatbelt,https://www.theguardian.com/business/2026/aug/11/canadian-airline-cancels-flight-after-child-refuses-to-wear-seatbelt,"Tue, 11 Aug 2026 14:03:28 GMT",The Guardian
How Americans deceive ourselves about slavery,https://www.npr.org/2026/08/14/nx-s1-5928227/how-americans-deceive-ourselves-about-slavery,"Fri, 14 Aug 2026 14:13:00 -0400",NPR
"As speed cameras spread to more states, so does the backlash from drivers",https://www.npr.org/2026/08/14/nx-s1-5927506/speed-cameras-ticket-backlash,"Fri, 14 Aug 2026 12:54:58 -0400",NPR
"Is there a summer COVID-19 surge this year? Yep, it's ramping up again",https://www.npr.org/2026/08/14/nx-s1-5927115/summer-vaccine-covid-19-surge,"Fri, 14 Aug 2026 12:37:54 -0400",NPR
"Mangione pleads guilty in federal court, leaving fate of state trial uncertain",https://www.npr.org/2026/08/14/nx-s1-5930700/mangione-federal-charges-guilty-plea,"Fri, 14 Aug 2026 12:05:24 -0400",NPR
We learned 5 important things about the economy this week,https://www.npr.org/2026/08/14/nx-s1-5929422/inflation-spending-economy-groceries-gas,"Fri, 14 Aug 2026 10:47:15 -0400",NPR
The Taliban has taken a terrible toll on the education of girls -- and boys as well,https://www.npr.org/2026/08/14/g-s1-138584/taliban-afghanistan-boys-girls-education-school,"Fri, 14 Aug 2026 10:41:22 -0400",NPR
U.S. missionary who was kidnapped in Niger is released,https://www.npr.org/2026/08/14/nx-s1-5931225/kidnapped-us-missionary-released,"Fri, 14 Aug 2026 08:11:50 -0400",NPR
"Feds probe 'mention markets.' And, lawmakers call for investigation into USS Lincoln",https://www.npr.org/2026/08/14/g-s1-138735/up-first-newsletter-mention-markets-kalshi-pentagon-uss-lincoln-ukraine-russia-crimea-kennedy-center,"Fri, 14 Aug 2026 07:02:42 -0400",NPR
Sen. Ruben Gallego on handling of USS Lincoln conditions: 'That's not proper leadership',https://www.npr.org/2026/08/14/nx-s1-5930365/uss-abraham-lincoln-iran-navy-ruben-gallego,"Fri, 14 Aug 2026 06:47:19 -0400",NPR
"From Europe to Asia, floods to heatwaves, world experiences weather shocks",https://www.npr.org/2026/08/14/g-s1-138727/europe-asia-floods-heatwaves-world-weather,"Fri, 14 Aug 2026 06:30:17 -0400",NPR
